word_id,aspect,partner
46525,imperfective,прите'чь
46529,imperfective,притереть
46530,imperfective,притиснуть
46531,imperfective,притихнуть
46532,perfective,притомля'ть
46533,imperfective,приторочить
46536,imperfective,притупить
46537,imperfective,притупиться
46540,imperfective,приударить
46541,imperfective,приукрасить
46542,imperfective,приуме́ньшить
46543,imperfective,приумножить
46544,imperfective,приумножиться
46546,imperfective,приурочить
46547,perfective,приутиха'ть
46548,perfective,
46552,imperfective,прихлопнуть
46553,perfective,
46554,imperfective,заприходовать
46560,imperfective,прицепить
46561,imperfective,прицепиться
46564,imperfective,причалить
46565,imperfective,причаститься
46576,imperfective,пришвартова'ть
46577,imperfective,пришвартоваться
46578,imperfective,-
46582,imperfective,пришпилить
46583,imperfective,пришпорить
46584,imperfective,прищемить
46586,imperfective,прищепить
46587,imperfective,прищучить
46588,imperfective,пробавиться
46589,imperfective,проболтаться
46594,perfective,-
46596,perfective,-
46597,perfective,проба'лтывать
46599,perfective,-
46600,perfective,-
46601,imperfective,пробура'вить
46602,imperfective,проварѝть
46603,imperfective,проведать
46604,imperfective,прове́ять
46605,perfective,провернуть
46609,imperfective,проветриться
46616,imperfective,провра'ться
46618,imperfective,провозвести'ть
46620,imperfective,прогадать
46622,perfective,прогла'живать
46623,imperfective,прогла'дить
46624,perfective,-
46625,imperfective,прогнить
46626,imperfective,проговориться
46627,perfective,-
46629,imperfective,прогореть
46632,perfective,прога'щивать
46634,imperfective,прогреть
46635,imperfective,прогре́ться
46638,imperfective,прогры'зть
46639,imperfective,прогры'зться
46642,imperfective,продолби'ть
46643,imperfective,продеть
46644,perfective,-
46645,perfective,дезинфицировать
46646,imperfective,продёрнуть
46647,imperfective,продрать
46655,imperfective,продумать
46657,imperfective,продырявить
46658,imperfective,проесть
46659,perfective,"-;проезжа'ть;прое́зживать"
46660,perfective,прое́зживаться
46664,imperfective,прожевать
46676,imperfective,прозвать
46677,imperfective,"-;прозва'ться"
46679,perfective,прозяба'ть
46686,perfective,иллюстрировать
46687,perfective,интервьюи'ровать
46688,perfective,-
46695,imperfective,прокалить
46697,perfective,прокарау'ливать
46700,imperfective,"прокатить;прока'тать"
46701,perfective,прока'шливать
46702,imperfective,проква'сить
46703,imperfective,прокиснуть
46704,both,
46705,imperfective,проклевать
46706,imperfective,прокле́ить
46708,perfective,прокапываться
46710,imperfective,прокрасить
46711,imperfective,прокурить
46713,imperfective,прокутѝть
46715,imperfective,"проломить,проломать"
46716,perfective,
46720,both,
46721,imperfective,промоло̀ть
46722,perfective,"-;маринова'ть"
46724,imperfective,промаслить
46725,imperfective,промота'ть
46726,imperfective,промочить
46727,imperfective,променять
46729,imperfective,промёрзнуть
46731,imperfective,проме́рять
46732,imperfective,промеша'ть
46733,perfective,-
46735,perfective,промола'чивать
46736,perfective,-
46737,perfective,прому'чивать
46738,perfective,-
46742,imperfective,пронять
46745,imperfective,пронюхать
46747,imperfective,прополоть
46748,imperfective,пропа'рить
46749,perfective,пропахивать
46750,imperfective,"пропахать;пропахнуть"
46755,imperfective,пропесо'чить
46756,perfective,пропеча'тывать
46757,imperfective,прописаться
46759,imperfective,пропитаться
46760,perfective,-
46761,perfective,-
46763,imperfective,
46764,perfective,пропалывать
46766,perfective,
46768,imperfective,проредить
46770,imperfective,
